,Car Brand,Varient,Year released,car_transmission,Kilometers_travelled,owned,fuel_varient,price,emi_available
431,Maruti,Swift  Dzire,2017,Manual,"56,192",1st,Petrol,"₹5,78,999","₹11,320/month"
432,Maruti,Swift  Dzire,2012,Manual,"79,387",1st,Diesel,"₹4,79,599","₹9,376/month"
433,Maruti,Swift,2013,Manual,"99,906",1st,Diesel,"₹4,61,999","₹9,032/month"
435,Renault,Kwid,2018,Manual,"42,192",1st,Petrol,"₹4,13,999","₹8,094/month"
436,Maruti,Ertiga,2013,Manual,"98,340",1st,Diesel,"₹6,68,499","₹13,069/month"
437,Maruti,Swift,2013,Manual,"98,437",1st,Diesel,"₹4,55,299","₹8,901/month"
438,Maruti,Swift  Dzire,2014,Manual,"72,863",1st,Petrol,"₹4,93,899","₹9,656/month"
439,Maruti,Swift  Dzire,2013,Manual,"74,382",1st,Diesel,"₹5,04,199","₹9,857/month"
440,Maruti,Alto  K10,2013,Manual,"45,378",2nd,Petrol,"₹2,49,399","₹4,876/month"
441,Maruti,Swift,2018,Manual,"60,056",1st,Petrol,"₹5,56,199","₹10,874/month"
442,Maruti,Alto  800,2015,Manual,"69,091",1st,Petrol,"₹2,77,399","₹5,423/month"
443,Maruti,Swift,2017,Manual,"65,599",1st,Petrol,"₹5,90,699","₹11,548/month"
444,Maruti,Swift  Dzire,2017,Manual,"72,884",2nd,Diesel,"₹6,71,999","₹13,138/month"
445,Maruti,Swift  Dzire,2014,Manual,"55,177",1st,Diesel,"₹5,69,099","₹11,126/month"
446,Hyundai,i20,2013,Manual,"89,444",2nd,Diesel,"₹4,94,099","₹9,660/month"
447,Maruti,Swift,2018,Manual,"80,127",1st,Petrol,"₹6,85,899","₹13,409/month"
448,Maruti,Eeco,2019,Manual,"12,281",1st,Petrol,"₹4,84,199","₹9,466/month"
449,Hyundai,i20,2012,Manual,"64,189",1st,Petrol,"₹3,63,399","₹7,105/month"
450,Volkswagen,Polo,2021,Automatic,"21,965",1st,Petrol,"₹9,18,799","₹17,254/month"
451,Maruti,Vitara  Brezza,2018,Manual,"93,279",1st,Diesel,"₹8,09,499","₹15,202/month"
452,Maruti,Ritz,2014,Manual,"85,147",2nd,Petrol,"₹3,65,599","₹7,148/month"
453,Renault,TRIBER,2021,Manual,"17,363",1st,Petrol,"₹6,59,899","₹12,901/month"
454,Maruti,Baleno,2016,Automatic,"46,859",2nd,Petrol,"₹5,57,299","₹10,895/month"
455,Renault,Duster,2017,Manual,"68,608",1st,Diesel,"₹7,14,299","₹13,965/month"
456,Maruti,Dzire,2018,Automatic,"35,872",1st,Diesel,"₹8,86,399","₹16,646/month"
457,Hyundai,Elite  i20,2018,Manual,"31,111",1st,Diesel,"₹8,22,599","₹15,448/month"
458,Maruti,Dzire,2018,Automatic,"52,127",2nd,Petrol,"₹6,99,549","₹13,676/month"
459,Mahindra,XUV  3OO,2019,Manual,"96,610",1st,Diesel,"₹9,75,399","₹18,317/month"
460,Maruti,Baleno,2019,Manual,"79,989",2nd,Diesel,"₹7,53,099","₹14,723/month"
461,Maruti,Baleno,2021,Manual,"11,676",1st,Petrol,"₹8,26,199","₹15,515/month"
462,Hyundai,VENUE,2020,Automatic,"10,980",1st,Petrol,"₹11,76,499","₹22,093/month"
463,Volkswagen,Ameo,2017,Automatic,"89,638",1st,Diesel,"₹6,42,799","₹12,567/month"
464,Maruti,Dzire,2021,Manual,"54,556",2nd,Petrol,"₹8,11,899","₹15,247/month"
465,Maruti,Vitara  Brezza,2019,Automatic,"97,658",1st,Diesel,"₹8,97,399","₹16,852/month"
466,Toyota,Glanza,2020,Automatic,"38,883",1st,Petrol,"₹8,13,299","₹15,273/month"
467,Mahindra,MARAZZO,2020,Manual,"20,933",2nd,Diesel,"₹13,91,999","₹26,140/month"
