,Car Brand,Varient,Year released,car_transmission,Kilometers_travelled,owned,fuel_varient,price,emi_available
223,Hyundai,Elite  i20,2017,Manual,"48,779",1st,Petrol,"₹6,37,099","₹12,455/month"
224,Tata,Tiago,2018,Automatic,"43,676",1st,Petrol,"₹5,51,999","₹10,792/month"
225,Maruti,Wagon  R  1.0,2018,Manual,"64,160",1st,Petrol,"₹4,37,799","₹8,559/month"
226,Hyundai,Grand  i10,2019,Manual,"20,846",2nd,Petrol,"₹5,82,199","₹11,382/month"
227,Hyundai,Grand  i10,2017,Manual,"15,854",2nd,Petrol,"₹5,38,499","₹10,528/month"
228,Maruti,Dzire,2017,Manual,"54,189",2nd,Petrol,"₹6,46,099","₹12,631/month"
229,Hyundai,Grand  i10,2019,Manual,"96,631",1st,Petrol,"₹5,57,099","₹10,891/month"
230,Hyundai,VENUE,2020,Manual,"50,108",1st,Petrol,"₹9,91,399","₹18,617/month"
231,Maruti,Dzire,2018,Manual,"45,586",1st,Petrol,"₹6,51,099","₹12,729/month"
232,Maruti,S  PRESSO,2021,Manual,"6,300",1st,Petrol,"₹4,72,599","₹9,239/month"
233,Ford,Ecosport,2018,Manual,"67,076",1st,Diesel,"₹9,98,099","₹18,743/month"
234,Maruti,Alto  K10,2018,Manual,"79,907",2nd,Petrol,"₹4,00,099","₹7,822/month"
235,Hyundai,Creta,2019,Manual,"43,870",2nd,Diesel,"₹13,31,399","₹25,002/month"
236,Maruti,Wagon  R  1.0,2017,Manual,"45,363",1st,Petrol,"₹4,15,699","₹8,127/month"
237,Maruti,Baleno,2018,Manual,"75,191",1st,Petrol,"₹5,51,599","₹10,784/month"
238,Hyundai,Grand  i10,2019,Manual,"36,488",1st,Petrol,"₹5,65,299","₹11,052/month"
239,Maruti,Alto  800,2018,Manual,"30,589",2nd,Petrol,"₹3,26,699","₹6,387/month"
241,Maruti,Ciaz,2019,Automatic,"81,576",1st,Petrol,"₹7,77,499","₹15,200/month"
242,Hyundai,Grand  i10,2019,Manual,"32,719",1st,Petrol,"₹5,82,099","₹11,380/month"
243,Ford,FREESTYLE,2021,Manual,"27,282",1st,Diesel,"₹9,11,999","₹17,126/month"
244,Maruti,Wagon  R  1.0,2014,Manual,"20,120",3rd,Petrol,"₹3,94,899","₹7,720/month"
246,Honda,City,2017,Manual,"87,361",1st,Petrol,"₹7,70,899","₹15,071/month"
247,MG,HECTOR,2019,Automatic,"18,436",1st,Petrol,"₹16,74,224","₹31,440/month"
248,Maruti,Alto  800,2018,Manual,"22,441",1st,Petrol,"₹3,37,699","₹6,602/month"
249,Hyundai,Eon,2018,Manual,"58,146",2nd,Petrol,"₹3,66,099","₹7,157/month"
250,Volkswagen,Vento,2020,Manual,"21,907",2nd,Petrol,"₹10,30,699","₹19,355/month"
251,Hyundai,NEW  SANTRO,2020,Manual,"19,500",1st,Petrol,"₹5,58,699","₹10,923/month"
252,Hyundai,NEW  SANTRO,2019,Manual,"74,481",1st,Petrol,"₹4,70,699","₹9,202/month"
254,Ford,Ecosport,2021,Manual,"9,607",2nd,Petrol,"₹10,61,899","₹19,941/month"
255,Renault,TRIBER,2021,Manual,"41,216",1st,Petrol,"₹6,59,899","₹12,901/month"
256,Hyundai,GRAND  I10  NIOS,2021,Automatic,"3,280",1st,Petrol,"₹7,90,799","₹15,460/month"
257,Hyundai,Grand  i10,2019,Manual,"44,601",2nd,Petrol,"₹5,59,999","₹10,948/month"
258,Tata,NEXON,2019,Automatic,"92,846",1st,Diesel,"₹9,56,399","₹17,960/month"
259,Hyundai,GRAND  I10  NIOS,2020,Manual,"12,165",1st,Petrol,"₹6,80,799","₹13,310/month"
261,Jeep,Compass,2019,Manual,"77,081",1st,Diesel,"₹14,78,299","₹27,761/month"
262,Maruti,Wagon  R  1.0,2016,Manual,"34,946",2nd,Petrol,"₹4,16,999","₹8,152/month"
263,Skoda,Rapid,2017,Manual,"83,770",2nd,Diesel,"₹7,54,499","₹14,751/month"
264,Hyundai,Elite  i20,2017,Manual,"58,903",1st,Diesel,"₹7,33,699","₹14,344/month"
265,Datsun,Redi  Go,2018,Automatic,"40,759",1st,Petrol,"₹3,83,299","₹7,494/month"
266,Maruti,Alto  800,2018,Manual,"64,650",2nd,Petrol,"₹3,20,699","₹6,270/month"
